"La Binchoise Organic’ Miel";"Fermentation haute, Bio, Bière au miel";"8,5";"Brasserie La Binchoise"
"La Binchoise Organic’ Triple";"Fermentation haute, Bio, Triple";"8,5";"Brasserie La Binchoise"
"La Binchoise Spéciale Noël";"Fermentation haute, Bière de Noël";"9";"Brasserie La Binchoise"
"La Binchoise Triple";"Fermentation haute, Triple";"8,5";"Brasserie La Binchoise"
"La Binchoise XO";"Fermentation haute";"12";"Brasserie La Binchoise"
"Bink Blond";"Ale";"5,5";"Brasserie Cornelissen pour Brasserie Kerkom"
"Bink Bruin";"Double";"5,5";"Brasserie Cornelissen pour Brasserie Kerkom"
"Bink Bloesem";"Blonde";"7,1";"Brasserie Cornelissen pour Brasserie Kerkom"
"Biolégère";"Bio, Saison";"3,5";"Brasserie Dupont"
"Bitter Sweet Symphony";"Double, IPA";"7,8";"Brasserie 't Gaverhopke"
"Bittere Waarheid";"IPA";"11";"Brasserie Het Alternatief par la Brasserie De Graal"
"Black";"Brune, Fermentation haute";"6,3";"Brasserie de Bellevaux"
"Black Albert";"Stout";"13";"Brasserie Deca pour la De Struise Brouwers"
"Black Damnation I";"Stout";"13";"Brasserie Deca pour la De Struise Brouwers"
"Black Damnation II (Mocha Bomb)";"Stout";"12";"Brasserie Deca pour la De Struise Brouwers"
"Black Damnation III (Black Mes)";"Stout";"13";"Brasserie Deca pour la De Struise Brouwers"
"Black Damnation IV (Coffée Club)";"Stout";"13";"Brasserie Deca pour la De Struise Brouwers"
"Black Damnation V (Double Black)";"Stout";"26";"Brasserie Deca pour la De Struise Brouwers"
"Black";"Brune, Ale";"6,3";"Brasserie de Bellevaux"
"Black Ghost";"Fermentation haute";"8";"Brasserie Fantôme"
"Black Hole";"Pils";"5,6";"Brasserie Roman"
"Black Jack";"Porter";"7";"Brasserie Deca pour la De Struise Brouwers"
"Blanche";"Blanche";"4,8";"Brasserie de Bellevaux"
"Blanche d'Ardenne";"Blanche";"4,3";"Brasserie du Bocq pour la Brasserie Corsendonk"
"Blanche de Bouillon";"Blanche";"5,5";"Brasserie de Bouillon"
"Blanche de Brabant";"Blanche";"5";"Groupe John Martin"
"Blanche de Bruxelles";"Blanche";"4,5";"Brasserie Lefebvre"
"Blanche de Charleroi";"Blanche";"5";"Brasserie du Val de Sambre"
"Blanche de Namur";"Blanche";"5,2";"Brasserie du Bocq"
"Blanche de Namur Rosée";"Blanche, Fruitée";"3,4";"Brasserie du Bocq"
"Blanche de Saint-Job";"Blanche";"4,5";"Brasserie L'Imprimerie"
"Blanche de Tubize";"Blanche";"4,8";"Brasserie de Tubize"
"Blanche des Honnelles";"Blanche";"6";"Brasserie de l'Abbaye des Rocs"
"Blanche des Neiges";"Blanche";"5";"Brasserie Huyghe"
"Blanche des Saisis";"Blanche";"6,2";"Brasserie Ellezelloise"
"Blanche du Hainaut Bio";"Blanche, Bio";"5,5";"Brasserie Dupont"
"Blanchette de Gaume";"Blanche";"5";"Brasserie Millevertus"
"Blanchette de Lorraine";"Blanche, Fruitée";"5";"Brasserie Millevertus"
"BLAUW";"Pils";"5,2";"Brasserie Bockor"
"Blauwersbier";;"6,5";"Brasserie Van Eecke"
"Bloemenbier";"Ale";"7";"De Proefbrouwerij"
"Bière de la Bonde";"Triple";"10";"Brasserie Van Eecke"
"Bleeken Moriaen";"Triple";"10";"Brasserie Van Eecke"
"Blégny-Mine bière des Houyeux";;"6";"Brasserie de l'Abbaye du Val-Dieu"
"Blonde";"Blonde";"7";"Brasserie de Bellevaux"
"Blonde";"Blonde, Fermentation basse";"1,2";"Brasserie Haacht"
"Blonde Bie";"Blonde";"8";"Brasserie De Bie"
"Blonde de Brabant";"Blonde";"6";"Groupe John Martin"
"Blonde de Noël";"Blonde";"10";"Brasserie Caulier"
"La Blonde du Domaine des Grottes de Han";"Blonde";"6.5";"Brasserie Du Bocq"
"Blondelle";"Blonde";"7";"'t Hofbrouwerijke"
"Blondine";"Blonde";"8";"Brasserie Van Steenberge pour Hopduvel Gent"
